Layer 0:
  Brick at (x=27, y=19, z=0) size=(4x2)
  Brick at (x=31, y=19, z=0) size=(4x2)
  Brick at (x=35, y=20, z=0) size=(4x2)
  Brick at (x=25, y=21, z=0) size=(4x2)
  Brick at (x=29, y=21, z=0) size=(4x2)
  Brick at (x=33, y=22, z=0) size=(4x2)
  Brick at (x=37, y=22, z=0) size=(4x2)
  Brick at (x=23, y=23, z=0) size=(4x2)
  Brick at (x=27, y=23, z=0) size=(4x2)
  Brick at (x=31, y=24, z=0) size=(4x2)
  Brick at (x=35, y=24, z=0) size=(4x2)
  Brick at (x=39, y=24, z=0) size=(4x2)
  Brick at (x=20, y=25, z=0) size=(4x2)
  Brick at (x=24, y=25, z=0) size=(4x2)
  Brick at (x=28, y=26, z=0) size=(4x2)
  Brick at (x=32, y=26, z=0) size=(4x2)
  Brick at (x=36, y=26, z=0) size=(4x2)
  Brick at (x=40, y=26, z=0) size=(4x2)
  Brick at (x=19, y=27, z=0) size=(4x2)
  Brick at (x=23, y=27, z=0) size=(4x2)
  Brick at (x=27, y=28, z=0) size=(4x2)
  Brick at (x=31, y=28, z=0) size=(4x2)
  Brick at (x=35, y=28, z=0) size=(4x2)
  Brick at (x=39, y=28, z=0) size=(4x2)
  Brick at (x=18, y=29, z=0) size=(4x2)
  Brick at (x=22, y=29, z=0) size=(4x2)
  Brick at (x=26, y=30, z=0) size=(4x2)
  Brick at (x=30, y=30, z=0) size=(4x2)
  Brick at (x=34, y=30, z=0) size=(4x2)
  Brick at (x=38, y=30, z=0) size=(4x2)
  Brick at (x=42, y=30, z=0) size=(4x2)
  Brick at (x=18, y=31, z=0) size=(4x2)
  Brick at (x=22, y=31, z=0) size=(4x2)
  Brick at (x=26, y=32, z=0) size=(4x2)
  Brick at (x=30, y=32, z=0) size=(4x2)
  Brick at (x=34, y=32, z=0) size=(4x2)
  Brick at (x=38, y=32, z=0) size=(4x2)
  Brick at (x=42, y=32, z=0) size=(4x2)
  Brick at (x=18, y=33, z=0) size=(4x2)
  Brick at (x=22, y=33, z=0) size=(4x2)
  Brick at (x=26, y=34, z=0) size=(4x2)
  Brick at (x=30, y=34, z=0) size=(4x2)
  Brick at (x=34, y=34, z=0) size=(4x2)
  Brick at (x=38, y=34, z=0) size=(4x2)
  Brick at (x=42, y=34, z=0) size=(4x2)
  Brick at (x=18, y=35, z=0) size=(4x2)
  Brick at (x=22, y=35, z=0) size=(4x2)
  Brick at (x=26, y=36, z=0) size=(4x2)
  Brick at (x=30, y=36, z=0) size=(4x2)
  Brick at (x=34, y=36, z=0) size=(4x2)
  Brick at (x=38, y=36, z=0) size=(4x2)
  Brick at (x=19, y=37, z=0) size=(4x2)
  Brick at (x=23, y=38, z=0) size=(4x2)
  Brick at (x=27, y=38, z=0) size=(4x2)
  Brick at (x=31, y=38, z=0) size=(4x2)
  Brick at (x=35, y=38, z=0) size=(4x2)
  Brick at (x=39, y=38, z=0) size=(4x2)
  Brick at (x=21, y=40, z=0) size=(4x2)
  Brick at (x=25, y=40, z=0) size=(4x2)
  Brick at (x=29, y=40, z=0) size=(4x2)
  Brick at (x=33, y=40, z=0) size=(4x2)
  Brick at (x=37, y=40, z=0) size=(4x2)
  Brick at (x=23, y=42, z=0) size=(4x2)
  Brick at (x=27, y=42, z=0) size=(4x2)
  Brick at (x=31, y=42, z=0) size=(4x2)
  Brick at (x=35, y=42, z=0) size=(4x2)
  Brick at (x=26, y=44, z=0) size=(4x2)
  Brick at (x=30, y=44, z=0) size=(4x2)
  Brick at (x=34, y=44, z=0) size=(4x2)
  Brick at (x=43, y=28, z=0) size=(1x2)
  Brick at (x=44, y=28, z=0) size=(1x2)
  Brick at (x=42, y=36, z=0) size=(1x2)
  Brick at (x=43, y=36, z=0) size=(1x2)
  Brick at (x=44, y=36, z=0) size=(1x2)
  Brick at (x=43, y=38, z=0) size=(1x2)
  Brick at (x=20, y=39, z=0) size=(1x2)
  Brick at (x=41, y=40, z=0) size=(1x2)
  Brick at (x=39, y=42, z=0) size=(1x2)
  Brick at (x=31, y=46, z=0) size=(1x2)
  Brick at (x=32, y=46, z=0) size=(1x2)
  Brick at (x=33, y=46, z=0) size=(1x2)
  Brick at (x=31, y=18, z=0) size=(2x1)
  Brick at (x=35, y=19, z=0) size=(2x1)
  Brick at (x=33, y=21, z=0) size=(2x1)
  Brick at (x=31, y=23, z=0) size=(2x1)
  Brick at (x=21, y=24, z=0) size=(2x1)
  Brick at (x=28, y=25, z=0) size=(2x1)
  Brick at (x=23, y=37, z=0) size=(2x1)
  Brick at (x=21, y=39, z=0) size=(2x1)
  Brick at (x=24, y=44, z=0) size=(2x1)
  Brick at (x=28, y=46, z=0) size=(2x1)
  Brick at (x=26, y=20, z=0) size=(1x1)
  Brick at (x=39, y=21, z=0) size=(1x1)
  Brick at (x=24, y=22, z=0) size=(1x1)
  Brick at (x=41, y=23, z=0) size=(1x1)
  Brick at (x=30, y=25, z=0) size=(1x1)
  Brick at (x=43, y=25, z=0) size=(1x1)
  Brick at (x=27, y=27, z=0) size=(1x1)
  Brick at (x=26, y=29, z=0) size=(1x1)
  Brick at (x=17, y=32, z=0) size=(1x1)
  Brick at (x=25, y=37, z=0) size=(1x1)
  Brick at (x=44, y=38, z=0) size=(1x1)
  Brick at (x=19, y=39, z=0) size=(1x1)
  Brick at (x=42, y=40, z=0) size=(1x1)
  Brick at (x=40, y=42, z=0) size=(1x1)
  Brick at (x=38, y=44, z=0) size=(1x1)
  Brick at (x=30, y=46, z=0) size=(1x1)
  Brick at (x=34, y=46, z=0) size=(1x1)
Layer 1:
  Brick at (x=28, y=11, z=1) size=(4x2)
  Brick at (x=32, y=11, z=1) size=(4x2)
  Brick at (x=36, y=12, z=1) size=(4x2)
  Brick at (x=24, y=13, z=1) size=(4x2)
  Brick at (x=28, y=13, z=1) size=(4x2)
  Brick at (x=32, y=13, z=1) size=(4x2)
  Brick at (x=36, y=14, z=1) size=(4x2)
  Brick at (x=20, y=15, z=1) size=(4x2)
  Brick at (x=24, y=15, z=1) size=(4x2)
  Brick at (x=28, y=15, z=1) size=(4x2)
  Brick at (x=32, y=15, z=1) size=(4x2)
  Brick at (x=40, y=15, z=1) size=(4x2)
  Brick at (x=36, y=16, z=1) size=(4x2)
  Brick at (x=18, y=17, z=1) size=(4x2)
  Brick at (x=22, y=17, z=1) size=(4x2)
  Brick at (x=26, y=17, z=1) size=(4x2)
  Brick at (x=30, y=17, z=1) size=(4x2)
  Brick at (x=40, y=17, z=1) size=(4x2)
  Brick at (x=34, y=18, z=1) size=(4x2)
  Brick at (x=44, y=18, z=1) size=(4x2)
  Brick at (x=16, y=19, z=1) size=(4x2)
  Brick at (x=20, y=19, z=1) size=(4x2)
  Brick at (x=24, y=19, z=1) size=(4x2)
  Brick at (x=28, y=19, z=1) size=(4x2)
  Brick at (x=38, y=19, z=1) size=(4x2)
  Brick at (x=32, y=20, z=1) size=(4x2)
  Brick at (x=42, y=20, z=1) size=(4x2)
  Brick at (x=46, y=20, z=1) size=(4x2)
  Brick at (x=14, y=21, z=1) size=(4x2)
  Brick at (x=18, y=21, z=1) size=(4x2)
  Brick at (x=22, y=21, z=1) size=(4x2)
  Brick at (x=26, y=21, z=1) size=(4x2)
  Brick at (x=36, y=21, z=1) size=(4x2)
  Brick at (x=30, y=22, z=1) size=(4x2)
  Brick at (x=40, y=22, z=1) size=(4x2)
  Brick at (x=44, y=22, z=1) size=(4x2)
  Brick at (x=48, y=22, z=1) size=(4x2)
  Brick at (x=13, y=23, z=1) size=(4x2)
  Brick at (x=17, y=23, z=1) size=(4x2)
  Brick at (x=21, y=23, z=1) size=(4x2)
  Brick at (x=25, y=23, z=1) size=(4x2)
  Brick at (x=34, y=23, z=1) size=(4x2)
  Brick at (x=29, y=24, z=1) size=(4x2)
  Brick at (x=38, y=24, z=1) size=(4x2)
  Brick at (x=42, y=24, z=1) size=(4x2)
  Brick at (x=46, y=24, z=1) size=(4x2)
  Brick at (x=12, y=25, z=1) size=(4x2)
  Brick at (x=16, y=25, z=1) size=(4x2)
  Brick at (x=20, y=25, z=1) size=(4x2)
  Brick at (x=24, y=25, z=1) size=(4x2)
  Brick at (x=33, y=25, z=1) size=(4x2)
  Brick at (x=28, y=26, z=1) size=(4x2)
  Brick at (x=37, y=26, z=1) size=(4x2)
  Brick at (x=41, y=26, z=1) size=(4x2)
  Brick at (x=45, y=26, z=1) size=(4x2)
  Brick at (x=49, y=26, z=1) size=(4x2)
  Brick at (x=12, y=27, z=1) size=(4x2)
  Brick at (x=16, y=27, z=1) size=(4x2)
  Brick at (x=20, y=27, z=1) size=(4x2)
  Brick at (x=24, y=27, z=1) size=(4x2)
  Brick at (x=32, y=27, z=1) size=(4x2)
  Brick at (x=28, y=28, z=1) size=(4x2)
  Brick at (x=36, y=28, z=1) size=(4x2)
  Brick at (x=40, y=28, z=1) size=(4x2)
  Brick at (x=44, y=28, z=1) size=(4x2)
  Brick at (x=48, y=28, z=1) size=(4x2)
  Brick at (x=11, y=29, z=1) size=(4x2)
  Brick at (x=15, y=29, z=1) size=(4x2)
  Brick at (x=19, y=29, z=1) size=(4x2)
  Brick at (x=23, y=29, z=1) size=(4x2)
  Brick at (x=32, y=29, z=1) size=(4x2)
  Brick at (x=27, y=30, z=1) size=(4x2)
  Brick at (x=36, y=30, z=1) size=(4x2)
  Brick at (x=40, y=30, z=1) size=(4x2)
  Brick at (x=44, y=30, z=1) size=(4x2)
  Brick at (x=48, y=30, z=1) size=(4x2)
  Brick at (x=11, y=31, z=1) size=(4x2)
  Brick at (x=15, y=31, z=1) size=(4x2)
  Brick at (x=19, y=31, z=1) size=(4x2)
  Brick at (x=23, y=31, z=1) size=(4x2)
  Brick at (x=31, y=31, z=1) size=(4x2)
  Brick at (x=27, y=32, z=1) size=(4x2)
  Brick at (x=35, y=32, z=1) size=(4x2)
  Brick at (x=39, y=32, z=1) size=(4x2)
  Brick at (x=43, y=32, z=1) size=(4x2)
  Brick at (x=47, y=32, z=1) size=(4x2)
  Brick at (x=51, y=32, z=1) size=(4x2)
  Brick at (x=11, y=33, z=1) size=(4x2)
  Brick at (x=15, y=33, z=1) size=(4x2)
  Brick at (x=19, y=33, z=1) size=(4x2)
  Brick at (x=23, y=33, z=1) size=(4x2)
  Brick at (x=31, y=33, z=1) size=(4x2)
  Brick at (x=27, y=34, z=1) size=(4x2)
  Brick at (x=35, y=34, z=1) size=(4x2)
  Brick at (x=39, y=34, z=1) size=(4x2)
  Brick at (x=43, y=34, z=1) size=(4x2)
  Brick at (x=47, y=34, z=1) size=(4x2)
  Brick at (x=11, y=35, z=1) size=(4x2)
  Brick at (x=15, y=35, z=1) size=(4x2)
  Brick at (x=19, y=35, z=1) size=(4x2)
  Brick at (x=23, y=35, z=1) size=(4x2)
  Brick at (x=31, y=35, z=1) size=(4x2)
  Brick at (x=27, y=36, z=1) size=(4x2)
  Brick at (x=35, y=36, z=1) size=(4x2)
  Brick at (x=39, y=36, z=1) size=(4x2)
  Brick at (x=43, y=36, z=1) size=(4x2)
  Brick at (x=47, y=36, z=1) size=(4x2)
  Brick at (x=12, y=37, z=1) size=(4x2)
  Brick at (x=16, y=37, z=1) size=(4x2)
  Brick at (x=20, y=37, z=1) size=(4x2)
  Brick at (x=31, y=37, z=1) size=(4x2)
  Brick at (x=24, y=38, z=1) size=(4x2)
  Brick at (x=35, y=38, z=1) size=(4x2)
  Brick at (x=39, y=38, z=1) size=(4x2)
  Brick at (x=43, y=38, z=1) size=(4x2)
  Brick at (x=47, y=38, z=1) size=(4x2)
  Brick at (x=13, y=39, z=1) size=(4x2)
  Brick at (x=17, y=39, z=1) size=(4x2)
  Brick at (x=28, y=39, z=1) size=(4x2)
  Brick at (x=21, y=40, z=1) size=(4x2)
  Brick at (x=32, y=40, z=1) size=(4x2)
  Brick at (x=36, y=40, z=1) size=(4x2)
  Brick at (x=40, y=40, z=1) size=(4x2)
  Brick at (x=44, y=40, z=1) size=(4x2)
  Brick at (x=48, y=40, z=1) size=(4x2)
  Brick at (x=14, y=41, z=1) size=(4x2)
  Brick at (x=25, y=41, z=1) size=(4x2)
  Brick at (x=18, y=42, z=1) size=(4x2)
  Brick at (x=29, y=42, z=1) size=(4x2)
  Brick at (x=33, y=42, z=1) size=(4x2)
  Brick at (x=37, y=42, z=1) size=(4x2)
  Brick at (x=41, y=42, z=1) size=(4x2)
  Brick at (x=45, y=42, z=1) size=(4x2)
  Brick at (x=22, y=43, z=1) size=(4x2)
  Brick at (x=16, y=44, z=1) size=(4x2)
  Brick at (x=26, y=44, z=1) size=(4x2)
  Brick at (x=30, y=44, z=1) size=(4x2)
  Brick at (x=34, y=44, z=1) size=(4x2)
  Brick at (x=38, y=44, z=1) size=(4x2)
  Brick at (x=42, y=44, z=1) size=(4x2)
  Brick at (x=20, y=45, z=1) size=(4x2)
  Brick at (x=24, y=46, z=1) size=(4x2)
  Brick at (x=28, y=46, z=1) size=(4x2)
  Brick at (x=32, y=46, z=1) size=(4x2)
  Brick at (x=36, y=46, z=1) size=(4x2)
  Brick at (x=40, y=46, z=1) size=(4x2)
  Brick at (x=19, y=47, z=1) size=(4x2)
  Brick at (x=23, y=48, z=1) size=(4x2)
  Brick at (x=27, y=48, z=1) size=(4x2)
  Brick at (x=31, y=48, z=1) size=(4x2)
  Brick at (x=35, y=48, z=1) size=(4x2)
  Brick at (x=39, y=48, z=1) size=(4x2)
  Brick at (x=23, y=50, z=1) size=(4x2)
  Brick at (x=27, y=50, z=1) size=(4x2)
  Brick at (x=31, y=50, z=1) size=(4x2)
  Brick at (x=35, y=50, z=1) size=(4x2)
  Brick at (x=27, y=52, z=1) size=(4x2)
  Brick at (x=31, y=52, z=1) size=(4x2)
  Brick at (x=52, y=28, z=1) size=(2x4)
  Brick at (x=51, y=34, z=1) size=(2x4)
  Brick at (x=40, y=13, z=1) size=(1x2)
  Brick at (x=41, y=13, z=1) size=(1x2)
  Brick at (x=44, y=15, z=1) size=(1x2)
  Brick at (x=45, y=16, z=1) size=(1x2)
  Brick at (x=50, y=24, z=1) size=(1x2)
  Brick at (x=51, y=24, z=1) size=(1x2)
  Brick at (x=52, y=24, z=1) size=(1x2)
  Brick at (x=53, y=26, z=1) size=(1x2)
  Brick at (x=54, y=30, z=1) size=(1x2)
  Brick at (x=53, y=34, z=1) size=(1x2)
  Brick at (x=53, y=36, z=1) size=(1x2)
  Brick at (x=51, y=38, z=1) size=(1x2)
  Brick at (x=52, y=38, z=1) size=(1x2)
  Brick at (x=49, y=42, z=1) size=(1x2)
  Brick at (x=50, y=42, z=1) size=(1x2)
  Brick at (x=15, y=43, z=1) size=(1x2)
  Brick at (x=46, y=44, z=1) size=(1x2)
  Brick at (x=47, y=44, z=1) size=(1x2)
  Brick at (x=48, y=44, z=1) size=(1x2)
  Brick at (x=18, y=46, z=1) size=(1x2)
  Brick at (x=44, y=46, z=1) size=(1x2)
  Brick at (x=45, y=46, z=1) size=(1x2)
  Brick at (x=46, y=46, z=1) size=(1x2)
  Brick at (x=43, y=48, z=1) size=(1x2)
  Brick at (x=44, y=48, z=1) size=(1x2)
  Brick at (x=22, y=49, z=1) size=(1x2)
  Brick at (x=39, y=50, z=1) size=(1x2)
  Brick at (x=40, y=50, z=1) size=(1x2)
  Brick at (x=41, y=50, z=1) size=(1x2)
  Brick at (x=35, y=52, z=1) size=(1x2)
  Brick at (x=36, y=52, z=1) size=(1x2)
  Brick at (x=36, y=11, z=1) size=(2x1)
  Brick at (x=25, y=12, z=1) size=(2x1)
  Brick at (x=22, y=14, z=1) size=(2x1)
  Brick at (x=34, y=17, z=1) size=(2x1)
  Brick at (x=38, y=18, z=1) size=(2x1)
  Brick at (x=32, y=19, z=1) size=(2x1)
  Brick at (x=42, y=19, z=1) size=(2x1)
  Brick at (x=36, y=20, z=1) size=(2x1)
  Brick at (x=30, y=21, z=1) size=(2x1)
  Brick at (x=40, y=21, z=1) size=(2x1)
  Brick at (x=34, y=22, z=1) size=(2x1)
  Brick at (x=38, y=23, z=1) size=(2x1)
  Brick at (x=24, y=37, z=1) size=(2x1)
  Brick at (x=28, y=38, z=1) size=(2x1)
  Brick at (x=21, y=39, z=1) size=(2x1)
  Brick at (x=32, y=39, z=1) size=(2x1)
  Brick at (x=25, y=40, z=1) size=(2x1)
  Brick at (x=18, y=41, z=1) size=(2x1)
  Brick at (x=29, y=41, z=1) size=(2x1)
  Brick at (x=22, y=42, z=1) size=(2x1)
  Brick at (x=16, y=43, z=1) size=(2x1)
  Brick at (x=26, y=43, z=1) size=(2x1)
  Brick at (x=20, y=44, z=1) size=(2x1)
